Year	loss
1921	0
1922	60
1923	0
1924	0
1925	0
1926	30
1927	0
1928	0
1929	0
1930	0
1931	0
1932	0
1933	0
1934	0
1935	0
1936	180
1937	0
1938	30
1939	30
1940	30
1941	0
1942	0
1943	0
1944	0
1945	0
1946	0
1947	60
1948	0
1949	0
1950	0
1951	150
1952	0
1953	30
1954	0
1955	0
1956	60
1957	186
1958	0
1959	0
1960	0
1961	0
1962	0
1963	0
1964	0
1965	0
1966	0
1967	30
1968	0
1969	111
1970	0
1971	60
1972	0
1973	0
1974	0
1975	0
1976	0
1977	0
1978	0
1979	96
1980	0
1981	87
1982	0
1983	0
1984	0
1985	0
1986	0
1987	0
1988	0
1989	0
1990	30
1991	0
1992	0
1993	150
1994	0
1995	0
1996	0
1997	0
1998	0
1999	0
2000	0
2001	0
2002	0
2003	0
2004	30
2005	0
2006	0
2007	30
2008	30
2009	0
2010	0
2011	0
2012	0
2013	0
2014	0
2015	0
2016	0
2017	0
2018	0
2019	0
2020	30
